trait,model,boot_i,boot_j,spearman_full,jaccard_top_k
Insoluble_Oxalate,RandomForest,14,17,0.3438178528431741,0.0
Insoluble_Oxalate,RandomForest,14,18,0.27138823970278353,0.0
Insoluble_Oxalate,RandomForest,14,19,0.27125572277321863,0.0
Insoluble_Oxalate,RandomForest,14,20,0.3331760996351911,0.0
Insoluble_Oxalate,RandomForest,14,21,0.28097175912266886,0.0
Insoluble_Oxalate,RandomForest,14,22,0.24975118328674759,0.0
Insoluble_Oxalate,RandomForest,14,23,0.2883676725361418,0.0
Insoluble_Oxalate,RandomForest,14,24,0.2727267568924268,0.0
Insoluble_Oxalate,RandomForest,14,25,0.23335287183868425,0.0
Insoluble_Oxalate,RandomForest,14,26,0.32549980494120967,0.0
Insoluble_Oxalate,RandomForest,14,27,0.2659772277601518,0.0
Insoluble_Oxalate,RandomForest,14,28,0.29355891264861866,0.0
Insoluble_Oxalate,RandomForest,14,29,0.21135308157931898,0.0
Insoluble_Oxalate,RandomForest,15,16,0.33612138948975695,0.0
Insoluble_Oxalate,RandomForest,15,17,0.302093888297731,0.0
Insoluble_Oxalate,RandomForest,15,18,0.3447349647425993,0.0
Insoluble_Oxalate,RandomForest,15,19,0.3522734290776026,0.0
Insoluble_Oxalate,RandomForest,15,20,0.27103606839781924,0.0
Insoluble_Oxalate,RandomForest,15,21,0.2878593423372657,0.0
Insoluble_Oxalate,RandomForest,15,22,0.31368112432166384,0.25
Insoluble_Oxalate,RandomForest,15,23,0.34055522540826005,0.1111111111111111
Insoluble_Oxalate,RandomForest,15,24,0.28071960893159514,0.0
Insoluble_Oxalate,RandomForest,15,25,0.25319940042143885,0.0
Insoluble_Oxalate,RandomForest,15,26,0.2363500990674931,0.0
Insoluble_Oxalate,RandomForest,15,27,0.24321907409297658,0.0
Insoluble_Oxalate,RandomForest,15,28,0.385357600790862,0.0
Insoluble_Oxalate,RandomForest,15,29,0.28812749993358205,0.1111111111111111
Insoluble_Oxalate,RandomForest,16,17,0.2575017205723402,0.0
Insoluble_Oxalate,RandomForest,16,18,0.190983213757867,0.0
Insoluble_Oxalate,RandomForest,16,19,0.28364966042991235,0.0
Insoluble_Oxalate,RandomForest,16,20,0.23357739499335117,0.0
Insoluble_Oxalate,RandomForest,16,21,0.3035085413377817,0.0
Insoluble_Oxalate,RandomForest,16,22,0.31341034636568416,0.0
Insoluble_Oxalate,RandomForest,16,23,0.23922003610335457,0.0
Insoluble_Oxalate,RandomForest,16,24,0.27100198973948814,0.0
Insoluble_Oxalate,RandomForest,16,25,0.22690792805616572,0.0
Insoluble_Oxalate,RandomForest,16,26,0.2675449886670143,0.0
Insoluble_Oxalate,RandomForest,16,27,0.1772530017380507,0.0
Insoluble_Oxalate,RandomForest,16,28,0.3356725109729308,0.0
Insoluble_Oxalate,RandomForest,16,29,0.2711142513168216,0.1111111111111111
Insoluble_Oxalate,RandomForest,17,18,0.26837689553098637,0.1111111111111111
Insoluble_Oxalate,RandomForest,17,19,0.23719763580356526,0.0
Insoluble_Oxalate,RandomForest,17,20,0.2902128559822923,0.1111111111111111
Insoluble_Oxalate,RandomForest,17,21,0.2869933819838387,0.0
